Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Deep learning for hate speech detection: a comparative study,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00650-6,Jitendra Singh MalikHezhe QiaoGuansong PangAnton van den Hengel,2024,https://link.springer.com/article/10.1007/s41060-024-00650-6,Article
SPRAG: building and benchmarking a Short Programming-Related Answer Grading dataset,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00576-z,Sridevi BonthuS. Rama SreeM. H. M. Krishna Prasad,2024,https://link.springer.com/article/10.1007/s41060-024-00576-z,Article
Improving stance detection accuracy in low-resource languages: a deep learning framework with ParsBERT,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00630-w,Mohammad RahimiVahid Kiani,2024,https://link.springer.com/article/10.1007/s41060-024-00630-w,Article
"A layer-wise survey on internal modifications in BERT and its variants: techniques, applications, and performance trade-offs",International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00986-7,Aradhana SaxenaA. Santhanavijayan,2025,https://link.springer.com/article/10.1007/s41060-025-00986-7,Article
Large-scale simulation study of active learning models for systematic reviews,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00777-0,Jelle Jasper TeijemaJonathan de BruinAyoub BagheriRens van de Schoot,2025,https://link.springer.com/article/10.1007/s41060-025-00777-0,Article
A deep learning-based approach for identifying unresolved questions on Stack Exchange Q &amp;A communities through graph-based communication modelling,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00454-0,Hassan Abedi Firouzjaei,2023,https://link.springer.com/article/10.1007/s41060-023-00454-0,Article
Machine learning and deep learning for genomic data: a data-centric approach to CRISPR/Cas9 gene editing,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00773-4,Shehla RafiqMuzafar Ahmad MachaAssif Assad,2025,https://link.springer.com/article/10.1007/s41060-025-00773-4,Article
Enhancing hate speech detection with user characteristics,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00437-1,Rohan RautFrancesca Spezzano,2023,https://link.springer.com/article/10.1007/s41060-023-00437-1,Article
Detection of homophobia and transphobia in YouTube comments,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00400-0,Bharathi Raja Chakravarthi,2023,https://link.springer.com/article/10.1007/s41060-023-00400-0,Article
Beyond belief: a cross-genre study on perception and validation of health information online,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00310-7,Chaoyuan ZuoKritik MathurDhruv KelaNoushin Salek FaramarziRitwik Banerjee,2022,https://link.springer.com/article/10.1007/s41060-022-00310-7,Article
Agenda-Setting for COVID-19: A Study of Large-Scale Economic News Coverage Using Natural Language Processing,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00364-7,Guang LuMartin BusingerChristian DollfusThomas WozniakMatthes FleckTimo HerothIrina LockJanna Lipenkova,2022,https://link.springer.com/article/10.1007/s41060-022-00364-7,Article
