Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Statistical interpretation for word embeddings in natural language processing,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00955-0,Zitong ZhangAshraf YaseenHulin Wu,2025,https://link.springer.com/article/10.1007/s41060-025-00955-0,Article
Large-scale simulation study of active learning models for systematic reviews,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00777-0,Jelle Jasper TeijemaJonathan de BruinAyoub BagheriRens van de Schoot,2025,https://link.springer.com/article/10.1007/s41060-025-00777-0,Article
A Survey on the Impact of Pre-Trained Language Models in Sentiment Classification Task,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00805-z,Himanshu GautamAbhishek GaurDharmendra Kumar Yadav,2025,https://link.springer.com/article/10.1007/s41060-025-00805-z,Article
Enhancing online toxicity detection on gaming networks: a novel embeddings-based valence lexicon approach,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00730-1,Heba IsmailAshraf KhalilAhmed Jasmy,2025,https://link.springer.com/article/10.1007/s41060-025-00730-1,Article
A common-specific feature cross-fusion attention mechanism for KGVQA,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00536-7,Mingyang MaTurdi TohtiAskar Hamdulla,2024,https://link.springer.com/article/10.1007/s41060-024-00536-7,Article
A late fusion framework using whale optimization technique and attention-BiLSTM for fake news detection,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00515-y,K. VaralakshmiP. M. Ashok Kumar,2024,https://link.springer.com/article/10.1007/s41060-024-00515-y,Article
A similarity-based oversampling method for multi-label imbalanced text data,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00966-x,Ismail Hakki KaramanGulser KoksalLevent EriskinSalih Salihoglu,2025,https://link.springer.com/article/10.1007/s41060-025-00966-x,Article
Deep learning and transfer learning to understand emotions: a PoliEMO dataset and multi-label classification in Indian elections,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00738-7,Anuradha SuroliaShikha MehtaPonnurangam Kumaraguru,2025,https://link.springer.com/article/10.1007/s41060-025-00738-7,Article
Enhancing hate speech detection with user characteristics,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00437-1,Rohan RautFrancesca Spezzano,2023,https://link.springer.com/article/10.1007/s41060-023-00437-1,Article
Improving stance detection accuracy in low-resource languages: a deep learning framework with ParsBERT,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00630-w,Mohammad RahimiVahid Kiani,2024,https://link.springer.com/article/10.1007/s41060-024-00630-w,Article
<i>SeNSe</i>: embedding alignment via semantic anchors selection,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00522-z,Lorenzo MalandriFabio MercorioMario MezzanzanicaFilippo Pallucchini,2024,https://link.springer.com/article/10.1007/s41060-024-00522-z,Article
Deep learning for hate speech detection: a comparative study,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00650-6,Jitendra Singh MalikHezhe QiaoGuansong PangAnton van den Hengel,2024,https://link.springer.com/article/10.1007/s41060-024-00650-6,Article
A survey of sentiment analysis methods based on graph neural network,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00714-1,Razieh Abedi RadMohammad Reza YamaghaniAzamossadat Nourbakhsh,2025,https://link.springer.com/article/10.1007/s41060-025-00714-1,Article
A review of web infodemic analysis and detection trends across multi-modalities using deep neural network,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00727-w,Priyanka MeelChahat RajBhawna,2025,https://link.springer.com/article/10.1007/s41060-025-00727-w,Article
Narratives from GPT-derived networks of news and a link to financial markets dislocations,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00516-x,Deborah MioriConstantin Petrov,2024,https://link.springer.com/article/10.1007/s41060-024-00516-x,Article
Sentiment analysis using AdBERT model,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00725-y,Neha VaishNidhi GoelGaurav Gupta,2025,https://link.springer.com/article/10.1007/s41060-025-00725-y,Article
A hybrid framework for fake news detection using transformer models with MASHAP,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00952-3,G. L. Anand BabuG. Sekhar ReddyG. Sravan KumarA. Prashanth RaoN. NagalakshmiS. Vijay Kumar,2025,https://link.springer.com/article/10.1007/s41060-025-00952-3,Article
Contrastive text summarization: a survey,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00434-4,Thomas StröhleRicardo CamposAdam Jatowt,2023,https://link.springer.com/article/10.1007/s41060-023-00434-4,Article
Algorithmic trading strategy based on the integration of deep learning models and natural language processing,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00692-w,Nesa SadeghiKamran KianfarNasser Ghaem DoustJaber Fooladi,2024,https://link.springer.com/article/10.1007/s41060-024-00692-w,Article
FRP-TNN: an intelligent framework using transformer for financial market risk prediction to enhance decision-making under uncertainty,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00873-1,Bo XuLifei LuWenwen Tu,2025,https://link.springer.com/article/10.1007/s41060-025-00873-1,Article
Machine learning and deep learning for genomic data: a data-centric approach to CRISPR/Cas9 gene editing,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00773-4,Shehla RafiqMuzafar Ahmad MachaAssif Assad,2025,https://link.springer.com/article/10.1007/s41060-025-00773-4,Article
Feature selection based on the complexity of structural patterns in RDF graphs,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00466-w,Ken KaneiwaYota Minami,2023,https://link.springer.com/article/10.1007/s41060-023-00466-w,Article
Node embedding approach for accurate detection of fake reviews: a graph-based machine learning approach with explainable AI,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00565-2,Nazar ZakiAnusuya KrishnanSherzod TuraevZahiriddin RustamovJaloliddin RustamovAisha AlmusalamiFarah AyyadTsion RegasaBrice Boris Iriho,2024,https://link.springer.com/article/10.1007/s41060-024-00565-2,Article
"A layer-wise survey on internal modifications in BERT and its variants: techniques, applications, and performance trade-offs",International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00986-7,Aradhana SaxenaA. Santhanavijayan,2025,https://link.springer.com/article/10.1007/s41060-025-00986-7,Article
An accurate spam email detection mechanism using XLNet,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00887-9,Neeraj ShresthaJared OluochWeiqing SunJunghwan KimEralda Caushaj,2025,https://link.springer.com/article/10.1007/s41060-025-00887-9,Article
"Deep multi-task learning: a review of concepts, methods, and cross-domain applications",International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00892-y,Mahmoud Mohamed AbdelsamieShahira Shaaban AzabHesham A. Hefny,2025,https://link.springer.com/article/10.1007/s41060-025-00892-y,Article
Artificial intelligence trend analysis in German business and politics: a web mining approach,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00483-9,Philipp DumbachLeo SchwinnTim LöhrTassilo ElsbergerBjoern M. Eskofier,2023,https://link.springer.com/article/10.1007/s41060-023-00483-9,Article
Attention versus contrastive learning of tabular data: a data-centric benchmarking,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00681-z,Shourav B. RabbaniIvan V. MedriManar D. Samad,2024,https://link.springer.com/article/10.1007/s41060-024-00681-z,Article
Aspect-level multimodal sentiment analysis based on co-attention fusion,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00497-3,Shunjie WangGuoyong CaiGuangrui Lv,2024,https://link.springer.com/article/10.1007/s41060-023-00497-3,Article
Cyber insights: exploring the effectiveness of image-based and vector-based feature representations in insider threat detection,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00960-3,Krunal Dhanraj RandiveR. MohanAmbairam Muthu Sivakrishna,2025,https://link.springer.com/article/10.1007/s41060-025-00960-3,Article
"Graph neural networks: Historical backgrounds, present revolutions, and conventionalization for the future",International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00797-w,Sozan S. MaghdidTarik A. RashidShavan K. Askar,2025,https://link.springer.com/article/10.1007/s41060-025-00797-w,Article
INRA: deep autoencoder-based node influence ranking method in complex networks,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00812-0,Asmita PatelBuddha Singh,2025,https://link.springer.com/article/10.1007/s41060-025-00812-0,Article
"A systematic review of machine learning approaches for detecting deceptive activities on social media: methods, challenges, and biases",International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00850-8,Yunchong LiuXiaorui ShenYeyubei ZhangZhongyan WangYexin TianJianglai DaiYuchen Cao,2025,https://link.springer.com/article/10.1007/s41060-025-00850-8,Article
LegalT5-ABSA: a framework for aspect-based sentiment analysis of parties in legal cases using text-to-text transfer transformer,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00744-9,Sevda Rezaei MelalSepehr Rezaei MelalRashed Khanjani-Shiraz,2025,https://link.springer.com/article/10.1007/s41060-025-00744-9,Article
Impact of hotel responses to online reviews on customer loyalty and acquisition: a longitudinal sentiment analysis with booking,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00870-4,Seynabou DioufHaïfa NakouriBob-Antoine Jerry Ménélas,2025,https://link.springer.com/article/10.1007/s41060-025-00870-4,Article
Uncertainty handling in learning to rank: a systematic review,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00776-1,Amir Hosein Keyhanipour,2025,https://link.springer.com/article/10.1007/s41060-025-00776-1,Article
"A review of sentiment analysis: tasks, applications, and deep learning techniques",International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00594-x,Neeraj Anand SharmaA. B. M. Shawkat AliMuhammad Ashad Kabir,2024,https://link.springer.com/article/10.1007/s41060-024-00594-x,Article
Analysis of the Arab singer Shadia’s lyrics,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00669-9,Mohamed A. KhamisWalid Gomaa,2024,https://link.springer.com/article/10.1007/s41060-024-00669-9,Article
Deep reinforcement learning approach for ontology matching problem,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00425-5,Chahira TouatiAmina Kemmar,2023,https://link.springer.com/article/10.1007/s41060-023-00425-5,Article
Fake news detection: deep semantic representation with enhanced feature engineering,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00387-8,Mohammadreza SamadiSaeedeh Momtazi,2023,https://link.springer.com/article/10.1007/s41060-023-00387-8,Article
Learning to discover medicines,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00371-8,Minh-Tri NguyenThin NguyenTruyen Tran,2022,https://link.springer.com/article/10.1007/s41060-022-00371-8,Article
Conspiracy theories on Twitter: emerging motifs and temporal dynamics during the COVID-19 pandemic,International Journal of Data Science and Analytics,,,,10.1007/s41060-021-00298-6,Veronika BatzdorferHolger SteinmetzMarco BiellaMeysam Alizadeh,2021,https://link.springer.com/article/10.1007/s41060-021-00298-6,Article
Detection of homophobia and transphobia in YouTube comments,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00400-0,Bharathi Raja Chakravarthi,2023,https://link.springer.com/article/10.1007/s41060-023-00400-0,Article
Beyond belief: a cross-genre study on perception and validation of health information online,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00310-7,Chaoyuan ZuoKritik MathurDhruv KelaNoushin Salek FaramarziRitwik Banerjee,2022,https://link.springer.com/article/10.1007/s41060-022-00310-7,Article
Learning attentive attribute-aware node embeddings in dynamic environments,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00376-3,Nourhan AhmedAhmed RashedLars Schmidt-Thieme,2022,https://link.springer.com/article/10.1007/s41060-022-00376-3,Article
Data-driven analytics of COVID-19 ‘infodemic’,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00339-8,Minyu WanQi SuRong XiangChu-Ren Huang,2022,https://link.springer.com/article/10.1007/s41060-022-00339-8,Article
Dbias: detecting biases and ensuring fairness in news articles,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00359-4,Shaina RazaDeepak John RejiChen Ding,2022,https://link.springer.com/article/10.1007/s41060-022-00359-4,Article
Multilingual hope speech detection in English and Dravidian languages,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00341-0,Bharathi Raja Chakravarthi,2022,https://link.springer.com/article/10.1007/s41060-022-00341-0,Article
Agenda-Setting for COVID-19: A Study of Large-Scale Economic News Coverage Using Natural Language Processing,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00364-7,Guang LuMartin BusingerChristian DollfusThomas WozniakMatthes FleckTimo HerothIrina LockJanna Lipenkova,2022,https://link.springer.com/article/10.1007/s41060-022-00364-7,Article
A survey on event and subevent detection from microblog data towards crisis management,International Journal of Data Science and Analytics,,,,10.1007/s41060-022-00335-y,Shatadru Roy ChowdhurySrinka BasuUjjwal Maulik,2022,https://link.springer.com/article/10.1007/s41060-022-00335-y,Article
Fake news detection based on news content and social contexts: a transformer-based approach,International Journal of Data Science and Analytics,,,,10.1007/s41060-021-00302-z,Shaina RazaChen Ding,2022,https://link.springer.com/article/10.1007/s41060-021-00302-z,Article
Analyzing the impact of missing values and selection bias on fairness,International Journal of Data Science and Analytics,,,,10.1007/s41060-021-00259-z,Yanchen WangLisa Singh,2021,https://link.springer.com/article/10.1007/s41060-021-00259-z,Article
Drug prescription support in dental clinics through drug corpus mining,International Journal of Data Science and Analytics,,,,10.1007/s41060-018-0149-3,Wee Pheng GohXiaohui TaoJi ZhangJianming YongWenping ZhangHaoran Xie,2018,https://link.springer.com/article/10.1007/s41060-018-0149-3,Article
