Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Automatic user story generation: a comprehensive systematic literature review,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00567-0,Carlos Alberto dos SantosKevin BouchardBianca Minetto Napoleão,2024,https://link.springer.com/article/10.1007/s41060-024-00567-0,Article
A survey of sentiment analysis methods based on graph neural network,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00714-1,Razieh Abedi RadMohammad Reza YamaghaniAzamossadat Nourbakhsh,2025,https://link.springer.com/article/10.1007/s41060-025-00714-1,Article
"A layer-wise survey on internal modifications in BERT and its variants: techniques, applications, and performance trade-offs",International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00986-7,Aradhana SaxenaA. Santhanavijayan,2025,https://link.springer.com/article/10.1007/s41060-025-00986-7,Article
Social media data mining of human behaviour during bushfire evacuation,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00884-y,Junfeng WuXiangmin ZhouErica KuligowskiDhirendra SinghEnrico RonchiMax Kinateder,2025,https://link.springer.com/article/10.1007/s41060-025-00884-y,Article
Video sentiment analysis on social media using an advanced VADER technique,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00849-1,Muskan DixitMalvinder Singh BaliKanwalpreet KourIacovos IoannouG. S. Pradeep GhantasalaVasos Vassiliou,2025,https://link.springer.com/article/10.1007/s41060-025-00849-1,Article
Modeling inflation with machine learning: a cross-horizon systematic review,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00905-w,Hassenet SlimaniChemseddine Chourabi,2025,https://link.springer.com/article/10.1007/s41060-025-00905-w,Article
Algorithmic trading strategy based on the integration of deep learning models and natural language processing,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00692-w,Nesa SadeghiKamran KianfarNasser Ghaem DoustJaber Fooladi,2024,https://link.springer.com/article/10.1007/s41060-024-00692-w,Article
An accurate spam email detection mechanism using XLNet,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00887-9,Neeraj ShresthaJared OluochWeiqing SunJunghwan KimEralda Caushaj,2025,https://link.springer.com/article/10.1007/s41060-025-00887-9,Article
A similarity-based oversampling method for multi-label imbalanced text data,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00966-x,Ismail Hakki KaramanGulser KoksalLevent EriskinSalih Salihoglu,2025,https://link.springer.com/article/10.1007/s41060-025-00966-x,Article
"A review of sentiment analysis: tasks, applications, and deep learning techniques",International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00594-x,Neeraj Anand SharmaA. B. M. Shawkat AliMuhammad Ashad Kabir,2024,https://link.springer.com/article/10.1007/s41060-024-00594-x,Article
LegalT5-ABSA: a framework for aspect-based sentiment analysis of parties in legal cases using text-to-text transfer transformer,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00744-9,Sevda Rezaei MelalSepehr Rezaei MelalRashed Khanjani-Shiraz,2025,https://link.springer.com/article/10.1007/s41060-025-00744-9,Article
A Survey on the Impact of Pre-Trained Language Models in Sentiment Classification Task,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00805-z,Himanshu GautamAbhishek GaurDharmendra Kumar Yadav,2025,https://link.springer.com/article/10.1007/s41060-025-00805-z,Article
Cyber insights: exploring the effectiveness of image-based and vector-based feature representations in insider threat detection,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00960-3,Krunal Dhanraj RandiveR. MohanAmbairam Muthu Sivakrishna,2025,https://link.springer.com/article/10.1007/s41060-025-00960-3,Article
SentiVol-GA: a volatility-scaled genetic fusion of predictive models and financial sentiment for adaptive stock forecasting,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00983-w,Monika SinghHarinandan TungaSamarjit Kar,2026,https://link.springer.com/article/10.1007/s41060-025-00983-w,Article
What can machines learn about heart failure? A systematic literature review,International Journal of Data Science and Analytics,,,,10.1007/s41060-021-00300-1,A. Jasinska-PiadloR. BondP. BiglarbeigiR. BriskP. CampbellD. McEneaneny,2021,https://link.springer.com/article/10.1007/s41060-021-00300-1,Article
An overview of sentence ordering task,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00550-9,Yunmei ShiHaiying ZhangNing LiTeng Yang,2024,https://link.springer.com/article/10.1007/s41060-024-00550-9,Article
Machine learning and deep learning for genomic data: a data-centric approach to CRISPR/Cas9 gene editing,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00773-4,Shehla RafiqMuzafar Ahmad MachaAssif Assad,2025,https://link.springer.com/article/10.1007/s41060-025-00773-4,Article
Explainable long-sequence time-series forecasting for infectious diseases using optimised transformer models,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00930-9,Abdulrahman Mathkar Alotaibi,2025,https://link.springer.com/article/10.1007/s41060-025-00930-9,Article
