str_search_string,nr_page,nr_order,str_article,nr_year,nr_citations,str_original_Link,str_pdf_link,category
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,1,"Text regressionanalysis: A review, empirical, and experimental insights",2024,3,https://ieeexplore.ieee.org/abstract/document/10640097/,https://ieeexplore.ieee.org/iel8/6287639/10380310/10640097.pdf,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,2,Multi-representation approach totext regressionof financial risks,2015,8,https://ieeexplore.ieee.org/abstract/document/7382979/,https://www.fruct.org/files/publications/volume-17-AINL-ISMW/fruct17/Tru.pdf,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,3,[HTML]TextRegress: A Python package for advanced regression analysis on long-form text data,2025,0,https://www.sciencedirect.com/science/article/pii/S266596382500020X,https://www.sciencedirect.com/science/article/pii/S266596382500020X,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,4,Gaussian processes fortext regression,2017,5,https://etheses.whiterose.ac.uk/id/eprint/17619/,https://etheses.whiterose.ac.uk/id/eprint/17619/1/thesis.pdf,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,5,Analyzing online review helpfulness using a regressional ReliefF-enhanced text mining method,2012,52,https://dl.acm.org/doi/abs/10.1145/2229156.2229158,https://dl.acm.org/doi/pdf/10.1145/2229156.2229158,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,6,An improved one-stage pedestrian detection method based on multi-scale attentionfeature extraction,2021,32,https://link.springer.com/article/10.1007/s11554-021-01074-2,,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,7,Enhancing automated essay scoring performance via fine-tuning pre-trained language models with combination of regression and ranking,2020,190,https://ira.lib.polyu.edu.hk/handle/10397/105512,https://ira.lib.polyu.edu.hk/bitstream/10397/105512/1/2020.findings-emnlp.141.pdf,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,8,Adaptive smooth L1 loss: A better way to regress scene texts with extreme aspect ratios,2021,43,https://ieeexplore.ieee.org/abstract/document/9631466/,,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,9,Exploiting knowledge graph to improve text-based prediction,2018,8,https://ieeexplore.ieee.org/abstract/document/8622123/,https://par.nsf.gov/servlets/purl/10091900,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",1,10,Reading Arbitrary-Shaped Scene Text from Images Through Spline Regression and Rectification,2022,2,https://openaccess.thecvf.com/content/ACCV2022/html/Chen_Reading_Arbitrary-Shaped_Scene_Text_from_Images_Through_Spline_Regression_and_ACCV_2022_paper.html,https://openaccess.thecvf.com/content/ACCV2022/papers/Chen_Reading_Arbitrary-Shaped_Scene_Text_from_Images_Through_Spline_Regression_and_ACCV_2022_paper.pdf,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,11,Leveraging the power of Natural Language Processing for Financial Intelligence System,2022,3,https://ieeexplore.ieee.org/abstract/document/9998106/,https://drive.google.com/file/d/1La3rZThyqkR8qEELHMxfgjAhKgbzTAE8/view,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,12,Dating Greek papyri withtext regression,2023,8,https://aclanthology.org/2023.acl-long.556/,https://aclanthology.org/2023.acl-long.556.pdf,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,13,"[HTML]Residential load forecasting based on long short-term memory, considering temporal local attention",2024,8,https://www.mdpi.com/2071-1050/16/24/11252,https://www.mdpi.com/2071-1050/16/24/11252,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,14,[C]Regression and Integration operations in Text Mining,,0,,,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,15,A systematic literature review of deep learning algorithms for personality trait recognition,2019,19,https://ieeexplore.ieee.org/abstract/document/9161107/,,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,16,FDTA: Fully convolutional scene text detection with text attention,2020,21,https://ieeexplore.ieee.org/abstract/document/9174729/,https://ieeexplore.ieee.org/iel7/6287639/8948470/09174729.pdf,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,17,Overview of the GermEval 2022 shared task on text complexity assessment of German text,2022,19,https://aclanthology.org/2022.germeval-1.1/,https://aclanthology.org/2022.germeval-1.1.pdf,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,18,A tutorial on fine-tuning pretrained language models: Applications in social and behavioral science research,2025,0,https://link.springer.com/article/10.3758/s13428-025-02868-z,,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,19,Large Language Models for EDA Cloud Job Resource and Lifetime Prediction,2025,0,https://arxiv.org/abs/2512.19701,https://arxiv.org/pdf/2512.19701,Gerais
"""text regression"" AND (""feature extraction"" OR ""text representation"")",2,20,Regression applied to legal judgments to predict compensation for immaterial damage,2023,7,https://peerj.com/articles/cs-1225/,https://peerj.com/articles/cs-1225.pdf,Gerais
"""text-based regression"" AND NLP",1,1,[HTML]TextRegress: A Python package for advanced regression analysis on long-form text data,2025,0,https://www.sciencedirect.com/science/article/pii/S266596382500020X,https://www.sciencedirect.com/science/article/pii/S266596382500020X,Gerais
